step,epoch,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,1,8.420005,8.416707,0.000000e+00,109904.4,4.867
1,1,8.416597,,2.500000e-05,992097.3,4.876
2,1,7.766597,,5.000000e-05,996051.7,4.876
3,1,7.106870,,7.500000e-05,995986.8,4.876
4,1,6.801430,,1.000000e-04,995898.4,4.876
5,1,6.508790,,1.250000e-04,995301.6,4.876
6,1,6.330338,,1.500000e-04,991204.7,4.876
7,1,6.103530,,1.750000e-04,991408.5,4.876
8,1,6.004133,,2.000000e-04,992082.9,4.876
9,1,5.828857,,2.250000e-04,995177.2,4.876
10,1,5.604085,,2.500000e-04,996196.1,4.876
11,1,5.335918,,2.750000e-04,995965.1,4.876
12,1,5.254315,,3.000000e-04,996707.3,4.876
13,1,4.968317,,3.250000e-04,996257.5,4.876
14,1,4.820553,,3.500000e-04,992813.9,4.876
15,1,4.534378,,3.750000e-04,993747.1,4.876
16,1,4.337412,,4.000000e-04,991431.7,4.876
17,1,4.230682,,4.250000e-04,991274.4,4.876
18,1,3.964585,,4.500000e-04,994419.4,4.876
19,1,3.807602,,4.750000e-04,996028.3,4.876
20,1,3.688477,,5.000000e-04,994041.8,4.876
21,1,3.521053,,5.250000e-04,995085.4,4.876
22,1,3.533617,,5.500000e-04,994239.6,4.876
23,1,3.312950,,5.750000e-04,989969.5,4.876
24,1,3.184271,,6.000000e-04,990592.1,4.876
25,1,3.181160,,6.250000e-04,989851.9,4.876
26,1,2.968888,,6.500000e-04,988557.9,4.876
27,1,2.884655,,6.750000e-04,990051.5,4.876
28,1,2.890262,,7.000000e-04,992407.1,4.876
29,1,2.798517,,7.250000e-04,994696.5,4.876
30,1,2.738160,,7.500000e-04,992174.2,4.876
31,1,2.820406,,7.750000e-04,993341.3,4.876
32,1,2.718388,,8.000000e-04,994507.5,4.876
33,1,2.752853,,8.250000e-04,995098.0,4.876
34,1,2.638948,,8.500000e-04,995892.9,4.876
35,1,2.629054,,8.750000e-04,995685.5,4.876
36,1,2.606065,,9.000000e-04,991472.8,4.876
37,1,2.613532,,9.250000e-04,990201.3,4.876
38,1,2.544627,,9.500000e-04,993531.6,4.876
39,1,2.545225,,9.750000e-04,996429.0,4.876
40,1,2.471028,,1.000000e-03,989128.8,4.876
41,1,2.560343,,9.999962e-04,991079.6,4.876
42,1,2.555571,,9.999847e-04,994270.1,4.876
43,1,2.530856,,9.999655e-04,994448.2,4.876
44,1,2.513635,,9.999386e-04,993350.3,4.876
45,1,2.485337,,9.999041e-04,990206.7,4.876
46,1,2.372034,,9.998620e-04,992075.8,4.876
47,1,2.483513,,9.998121e-04,992086.5,4.876
48,1,2.325360,,9.997546e-04,992339.0,4.876
49,1,2.409811,,9.996894e-04,994944.9,4.876
50,1,2.325410,2.389611,9.996166e-04,994162.2,4.876
51,1,2.306616,,9.995361e-04,990422.5,4.876
52,1,2.314415,,9.994479e-04,994896.3,4.876
53,1,2.373898,,9.993521e-04,995135.8,4.876
54,1,2.353203,,9.992486e-04,994647.9,4.876
55,1,2.298053,,9.991375e-04,992946.6,4.876
56,1,2.345970,,9.990187e-04,995739.6,4.876
57,1,2.251642,,9.988923e-04,996467.0,4.876
58,1,2.232306,,9.987582e-04,994255.7,4.876
59,1,2.236413,,9.986164e-04,994646.1,4.876
60,1,2.318662,,9.984671e-04,995829.8,4.876
61,1,2.215988,,9.983100e-04,994863.9,4.876
62,1,2.213212,,9.981454e-04,988582.8,4.876
63,1,2.226145,,9.979731e-04,986668.3,4.876
64,1,2.212766,,9.977931e-04,987400.2,4.876
65,1,2.212187,,9.976055e-04,985003.1,4.876
66,1,2.139012,,9.974103e-04,987214.1,4.876
67,1,2.132784,,9.972075e-04,987918.3,4.876
68,1,2.146811,,9.969971e-04,993626.8,4.876
69,1,2.073616,,9.967790e-04,992831.8,4.876
70,1,2.109999,,9.965533e-04,993088.3,4.876
71,1,2.155374,,9.963200e-04,991204.7,4.876
72,1,2.097056,,9.960791e-04,993219.3,4.876
73,1,2.119023,,9.958306e-04,991723.2,4.876
74,1,2.105255,,9.955745e-04,994059.8,4.876
75,1,2.104090,,9.953109e-04,995480.0,4.876
76,1,2.045654,,9.950396e-04,996476.0,4.876
77,1,2.062413,,9.947607e-04,995296.2,4.876
78,1,2.034332,,9.944743e-04,995999.4,4.876
79,1,2.069045,,9.941803e-04,992265.6,4.876
80,1,2.006046,,9.938787e-04,991047.4,4.876
81,1,1.932096,,9.935695e-04,993713.0,4.876
82,1,2.058225,,9.932528e-04,995270.9,4.876
83,1,2.017930,,9.929285e-04,994338.5,4.876
84,1,1.981975,,9.925967e-04,996192.5,4.876
85,1,1.989939,,9.922574e-04,996732.6,4.876
86,1,1.896600,,9.919105e-04,993468.8,4.876
87,1,1.947162,,9.915560e-04,993271.3,4.876
88,1,1.861957,,9.911941e-04,990924.2,4.876
89,1,1.886542,,9.908246e-04,992425.0,4.876
90,1,1.867139,,9.904476e-04,993167.3,4.876
91,1,1.911755,,9.900632e-04,996412.8,4.876
92,1,1.864879,,9.896712e-04,997179.1,4.876
93,1,1.866687,,9.892717e-04,996351.4,4.876
94,1,1.906373,,9.888647e-04,996730.7,4.876
95,1,1.916001,,9.884503e-04,997206.2,4.876
96,1,1.874135,,9.880284e-04,995591.8,4.876
97,1,1.797181,,9.875990e-04,995918.2,4.876
98,1,1.826939,,9.871621e-04,996441.7,4.876
99,1,1.753184,,9.867178e-04,996987.4,4.876
100,1,1.843106,1.842753,9.862661e-04,995660.3,4.876
101,1,1.779866,,9.858069e-04,980512.7,4.876
102,1,1.801416,,9.853403e-04,991567.6,4.876
103,1,1.787087,,9.848663e-04,990328.0,4.876
104,1,1.834832,,9.843849e-04,989313.9,4.876
105,1,1.784450,,9.838961e-04,986872.0,4.876
106,1,1.828578,,9.833998e-04,986907.5,4.876
107,1,1.781987,,9.828962e-04,988026.7,4.876
108,1,1.745728,,9.823852e-04,991068.9,4.876
109,1,1.756324,,9.818669e-04,995325.0,4.876
110,1,1.710643,,9.813412e-04,995243.9,4.876
111,1,1.682185,,9.808081e-04,995714.4,4.876
112,1,1.696238,,9.802677e-04,995828.0,4.876
113,1,1.712947,,9.797199e-04,995833.4,4.876
114,1,1.707617,,9.791649e-04,996833.8,4.876
115,1,1.711516,,9.786025e-04,996197.9,4.876
116,1,1.759469,,9.780328e-04,996040.9,4.876
117,1,1.734100,,9.774558e-04,995638.6,4.876
118,1,1.762738,,9.768716e-04,995680.1,4.876
119,1,1.684341,,9.762800e-04,996250.3,4.876
120,1,1.728331,,9.756812e-04,995582.7,4.876
121,1,1.713677,,9.750752e-04,996445.3,4.876
122,1,1.714266,,9.744619e-04,996658.5,4.876
123,1,1.700296,,9.738413e-04,996438.1,4.876
124,1,1.568110,,9.732136e-04,995269.1,4.876
125,1,1.704797,,9.725786e-04,995761.3,4.876
126,1,1.642952,,9.719364e-04,992790.6,4.876
127,1,1.694447,,9.712870e-04,994040.0,4.876
128,1,1.659958,,9.706305e-04,993059.6,4.876
129,1,1.718219,,9.699668e-04,995671.1,4.876
130,1,1.668140,,9.692959e-04,992561.2,4.876
131,1,1.702324,,9.686179e-04,993423.9,4.876
132,1,1.684346,,9.679327e-04,994703.7,4.876
133,1,1.689113,,9.672405e-04,991167.1,4.876
134,1,1.715204,,9.665411e-04,992417.8,4.876
135,1,1.617750,,9.658346e-04,992840.8,4.876
136,1,1.656015,,9.651210e-04,992817.5,4.876
137,1,1.614679,,9.644004e-04,993562.1,4.876
138,1,1.659984,,9.636727e-04,991101.0,4.876
139,1,1.616820,,9.629379e-04,992926.9,4.876
140,1,1.582327,,9.621961e-04,991812.7,4.876
141,1,1.612780,,9.614473e-04,990543.9,4.876
142,1,1.625111,,9.606915e-04,991825.2,4.876
143,1,1.670251,,9.599286e-04,991700.0,4.876
144,1,1.608758,,9.591588e-04,994880.1,4.876
145,1,1.613321,,9.583820e-04,992102.6,4.876
146,1,1.701291,,9.575983e-04,991733.9,4.876
147,1,1.617169,,9.568076e-04,994397.8,4.876
148,1,1.549177,,9.560100e-04,996205.2,4.876
149,1,1.557802,,9.552054e-04,992803.2,4.876
150,1,1.556393,1.617394,9.543940e-04,992425.0,4.876
151,1,1.560240,,9.535756e-04,980953.6,4.876
152,1,1.593190,,9.527504e-04,993596.3,4.876
153,1,1.556446,,9.519183e-04,992867.7,4.876
154,1,1.597700,,9.510794e-04,996235.8,4.876
155,1,1.597604,,9.502336e-04,994430.2,4.876
156,1,1.574176,,9.493810e-04,991644.5,4.876
157,1,1.544406,,9.485216e-04,984616.7,4.876
158,1,1.573800,,9.476554e-04,991964.8,4.876
159,1,1.561251,,9.467824e-04,990172.8,4.876
160,1,1.518948,,9.459027e-04,984904.2,4.876
161,1,1.574142,,9.450162e-04,988726.8,4.876
162,1,1.579330,,9.441230e-04,993874.7,4.876
163,1,1.469085,,9.432231e-04,992649.0,4.876
164,1,1.590290,,9.423165e-04,990244.1,4.876
165,1,1.524402,,9.414032e-04,991619.5,4.876
166,1,1.564306,,9.404832e-04,993179.8,4.876
167,1,1.525527,,9.395565e-04,985078.9,4.876
168,1,1.580755,,9.386233e-04,983565.0,4.876
169,1,1.575671,,9.376834e-04,990185.3,4.876
170,1,1.509782,,9.367368e-04,991347.7,4.876
171,1,1.502006,,9.357837e-04,988145.6,4.876
172,1,1.552899,,9.348241e-04,991110.0,4.876
173,1,1.506063,,9.338578e-04,987168.0,4.876
174,1,1.535105,,9.328851e-04,985347.3,4.876
175,1,1.495075,,9.319058e-04,985810.2,4.876
176,1,1.509878,,9.309200e-04,989875.0,4.876
177,1,1.503007,,9.299277e-04,993230.1,4.876
178,1,1.583672,,9.289289e-04,993784.8,4.876
179,1,1.519740,,9.279237e-04,990886.7,4.876
180,1,1.549782,,9.269120e-04,991658.8,4.876
181,1,1.533424,,9.258939e-04,994829.7,4.876
182,1,1.485365,,9.248694e-04,993283.9,4.876
183,1,1.524134,,9.238385e-04,992448.3,4.876
184,1,1.495345,,9.228012e-04,991294.0,4.876
185,1,1.485397,,9.217576e-04,994887.3,4.876
186,1,1.507809,,9.207077e-04,992331.8,4.876
187,1,1.520538,,9.196514e-04,991367.3,4.876
188,1,1.531583,,9.185888e-04,994505.7,4.876
189,1,1.508303,,9.175200e-04,991399.5,4.876
190,1,1.563471,,9.164449e-04,989493.8,4.876
191,1,1.480358,,9.153635e-04,991767.9,4.876
192,1,1.543081,,9.142759e-04,993596.3,4.876
193,1,1.477136,,9.131821e-04,995469.2,4.876
194,1,1.549232,,9.120821e-04,994671.3,4.876
195,1,1.423759,,9.109760e-04,994392.4,4.876
196,1,1.514753,,9.098637e-04,993163.7,4.876
197,1,1.512179,,9.087452e-04,994223.4,4.876
198,1,1.548204,,9.076207e-04,993314.4,4.876
199,1,1.406727,,9.064900e-04,993441.8,4.876
200,1,1.554988,1.499165,9.053533e-04,995862.3,4.876
201,1,1.420780,,9.042105e-04,962862.2,4.876
202,1,1.514532,,9.030617e-04,994334.9,4.876
203,1,1.508616,,9.019069e-04,993090.1,4.876
204,1,1.492837,,9.007461e-04,993005.8,4.876
205,1,1.434686,,8.995792e-04,989901.8,4.876
206,1,1.488177,,8.984065e-04,988796.1,4.876
207,1,1.472170,,8.972278e-04,990984.9,4.876
208,1,1.420258,,8.960432e-04,992389.2,4.876
209,1,1.448781,,8.948526e-04,994205.4,4.876
210,1,1.457275,,8.936562e-04,989727.1,4.876
211,1,1.467261,,8.924540e-04,993605.2,4.876
212,1,1.437979,,8.912459e-04,994721.7,4.876
213,1,1.476734,,8.900320e-04,994554.3,4.876
214,1,1.406985,,8.888123e-04,992697.4,4.876
215,1,1.491462,,8.875868e-04,993413.1,4.876
216,1,1.447557,,8.863556e-04,994081.3,4.876
217,1,1.442562,,8.851187e-04,994536.3,4.876
218,1,1.456479,,8.838760e-04,993230.1,4.876
219,1,1.421630,,8.826276e-04,996143.8,4.876
220,1,1.410394,,8.813736e-04,994214.4,4.876
221,1,1.471223,,8.801139e-04,988376.6,4.876
222,1,1.354212,,8.788486e-04,992027.4,4.876
223,1,1.401247,,8.775777e-04,993551.4,4.876
224,1,1.466992,,8.763012e-04,992822.9,4.876
225,1,1.442716,,8.750192e-04,989622.0,4.876
226,1,1.433366,,8.737316e-04,993540.6,4.876
227,1,1.428465,,8.724385e-04,991406.7,4.876
228,1,1.444264,,8.711399e-04,989577.5,4.876
229,1,1.408563,,8.698358e-04,987943.2,4.876
230,1,1.427517,,8.685263e-04,989522.3,4.876
231,1,1.398973,,8.672113e-04,990788.4,4.876
232,1,1.360470,,8.658910e-04,994032.8,4.876
233,1,1.385405,,8.645652e-04,992636.4,4.876
234,1,1.446726,,8.632341e-04,994881.9,4.876
235,1,1.406305,,8.618977e-04,994041.8,4.876
236,1,1.380867,,8.605559e-04,992982.5,4.876
237,1,1.356159,,8.592089e-04,988358.8,4.876
238,1,1.394487,,8.578566e-04,990206.7,4.876
239,1,1.385882,,8.564990e-04,993592.7,4.876
240,1,1.355336,,8.551362e-04,992484.1,4.876
241,1,1.346642,,8.537682e-04,989289.0,4.876
242,1,1.314937,,8.523950e-04,986974.8,4.876
243,1,1.380886,,8.510167e-04,987079.3,4.876
244,1,1.429018,,8.496333e-04,987144.9,4.876
245,1,1.346640,,8.482447e-04,988182.9,4.876
246,1,1.317069,,8.468511e-04,989381.6,4.876
247,1,1.353740,,8.454524e-04,993170.8,4.876
248,1,1.344998,,8.440486e-04,991462.1,4.876
249,1,1.355761,,8.426399e-04,995489.0,4.876
250,1,1.349657,1.390418,8.412262e-04,995155.6,4.876
251,1,1.418370,,8.398075e-04,988824.6,4.876
252,1,1.353928,,8.383838e-04,991510.4,4.876
253,1,1.326237,,8.369553e-04,992595.2,4.876
254,1,1.347725,,8.355219e-04,994049.0,4.876
255,1,1.306842,,8.340835e-04,993355.7,4.876
256,1,1.386422,,8.326404e-04,991642.7,4.876
257,1,1.418472,,8.311924e-04,992855.2,4.876
258,1,1.367831,,8.297397e-04,989178.6,4.876
259,1,1.357811,,8.282822e-04,989677.2,4.876
260,1,1.354865,,8.268199e-04,993045.3,4.876
261,1,1.340719,,8.253529e-04,992466.2,4.876
262,1,1.328878,,8.238812e-04,992948.4,4.876
263,1,1.354150,,8.224049e-04,993077.5,4.876
264,1,1.320524,,8.209239e-04,990681.3,4.876
265,1,1.260342,,8.194383e-04,990062.2,4.876
266,1,1.377164,,8.179481e-04,994809.9,4.876
267,1,1.347366,,8.164533e-04,995337.6,4.876
268,1,1.406144,,8.149540e-04,991535.4,4.876
269,1,1.351668,,8.134502e-04,992871.3,4.876
270,1,1.363131,,8.119419e-04,992045.3,4.876
271,1,1.395684,,8.104291e-04,994970.1,4.876
272,1,1.343446,,8.089119e-04,992817.5,4.876
273,1,1.364726,,8.073903e-04,995759.5,4.876
274,1,1.268735,,8.058643e-04,994709.1,4.876
275,1,1.352996,,8.043339e-04,995337.6,4.876
276,1,1.300546,,8.027992e-04,994079.6,4.876
277,1,1.287102,,8.012602e-04,994642.5,4.876
278,1,1.302748,,7.997169e-04,993418.5,4.876
279,1,1.286920,,7.981694e-04,991995.2,4.876
280,1,1.358545,,7.966176e-04,996015.6,4.876
281,1,1.379278,,7.950616e-04,995855.1,4.876
282,1,1.332218,,7.935014e-04,994604.7,4.876
283,1,1.289440,,7.919371e-04,989356.7,4.876
284,1,1.317497,,7.903687e-04,990121.1,4.876
285,1,1.351872,,7.887962e-04,994604.7,4.876
286,1,1.352339,,7.872196e-04,993388.0,4.876
287,1,1.311060,,7.856389e-04,994408.6,4.876
288,1,1.307864,,7.840543e-04,993030.9,4.876
289,1,1.327748,,7.824656e-04,994840.5,4.876
290,1,1.283080,,7.808730e-04,991581.9,4.876
291,1,1.333845,,7.792765e-04,987387.8,4.876
292,1,1.275313,,7.776760e-04,989134.1,4.876
293,1,1.302663,,7.760717e-04,989880.4,4.876
294,1,1.269223,,7.744635e-04,992654.4,4.876
295,1,1.251326,,7.728515e-04,991068.9,4.876
296,1,1.255120,,7.712357e-04,994442.8,4.876
297,1,1.261569,,7.696161e-04,992636.4,4.876
298,1,1.251355,,7.679928e-04,986562.1,4.876
299,1,1.329273,,7.663658e-04,988181.2,4.876
300,1,1.292550,1.313106,7.647350e-04,994056.2,4.876
301,1,1.353927,,7.631007e-04,991755.4,4.876
302,1,1.290298,,7.614627e-04,992769.1,4.876
303,1,1.322655,,7.598210e-04,990194.2,4.876
304,1,1.250687,,7.581758e-04,991982.7,4.876
305,1,1.314393,,7.565271e-04,987276.1,4.876
306,1,1.292941,,7.548748e-04,991151.1,4.876
307,1,1.336597,,7.532191e-04,989823.4,4.876
308,1,1.258489,,7.515599e-04,990322.6,4.876
309,1,1.325559,,7.498972e-04,990049.7,4.876
310,1,1.314325,,7.482312e-04,990920.6,4.876
311,1,1.302315,,7.465617e-04,992955.6,4.876
312,1,1.267135,,7.448889e-04,988634.3,4.876
313,1,1.282546,,7.432128e-04,989529.4,4.876
314,1,1.339634,,7.415334e-04,987497.8,4.876
315,1,1.216011,,7.398508e-04,989109.2,4.876
316,1,1.246831,,7.381649e-04,993546.0,4.876
317,1,1.267686,,7.364758e-04,995004.3,4.876
318,1,1.318729,,7.347835e-04,995269.1,4.876
319,1,1.287391,,7.330881e-04,990876.0,4.876
320,1,1.243299,,7.313895e-04,994680.3,4.876
321,1,1.314161,,7.296879e-04,992414.3,4.876
322,1,1.308747,,7.279832e-04,991068.9,4.876
323,1,1.258592,,7.262754e-04,995197.1,4.876
324,1,1.288038,,7.245647e-04,995672.9,4.876
325,1,1.237994,,7.228510e-04,995431.3,4.876
326,1,1.253272,,7.211343e-04,991024.2,4.876
327,1,1.228606,,7.194147e-04,993181.6,4.876
328,1,1.290420,,7.176922e-04,993657.3,4.876
329,1,1.255313,,7.159669e-04,990892.0,4.876
330,1,1.301124,,7.142388e-04,990518.9,4.876
331,1,1.228858,,7.125078e-04,992767.3,4.876
332,1,1.270616,,7.107741e-04,994475.2,4.876
333,1,1.195529,,7.090376e-04,991700.0,4.876
334,1,1.270498,,7.072984e-04,991984.5,4.876
335,1,1.282955,,7.055566e-04,990768.8,4.876
336,1,1.302397,,7.038121e-04,990649.2,4.876
337,1,1.238895,,7.020650e-04,990845.6,4.876
338,1,1.252020,,7.003152e-04,993519.0,4.876
339,1,1.198922,,6.985630e-04,994788.3,4.876
340,1,1.342831,,6.968081e-04,991855.6,4.876
341,1,1.238224,,6.950508e-04,992993.2,4.876
342,1,1.252388,,6.932910e-04,989884.0,4.876
343,1,1.280099,,6.915288e-04,987013.8,4.876
344,1,1.263649,,6.897642e-04,987843.8,4.876
345,1,1.262672,,6.879972e-04,989654.1,4.876
346,1,1.205019,,6.862278e-04,992201.1,4.876
347,1,1.279556,,6.844561e-04,992222.6,4.876
348,1,1.258545,,6.826821e-04,990103.2,4.876
349,1,1.227369,,6.809058e-04,989525.8,4.876
350,1,1.242725,1.259177,6.791274e-04,989290.8,4.876
351,1,1.273711,,6.773467e-04,986491.3,4.876
352,1,1.254124,,6.755638e-04,989397.6,4.876
353,1,1.241642,,6.737788e-04,992772.7,4.876
354,1,1.233783,,6.719917e-04,990096.1,4.876
355,1,1.209836,,6.702026e-04,989834.1,4.876
356,1,1.195562,,6.684113e-04,990786.7,4.876
357,1,1.258515,,6.666181e-04,987497.8,4.876
358,1,1.175908,,6.648229e-04,985409.1,4.876
359,1,1.285484,,6.630257e-04,983830.8,4.876
360,1,1.184956,,6.612266e-04,985432.1,4.876
361,1,1.217668,,6.594255e-04,990554.6,4.876
362,1,1.222988,,6.576227e-04,990633.1,4.876
363,1,1.185331,,6.558180e-04,992846.2,4.876
364,1,1.184018,,6.540114e-04,990442.2,4.876
365,1,1.229161,,6.522032e-04,992788.8,4.876
366,1,1.216815,,6.503931e-04,991079.6,4.876
367,1,1.247601,,6.485814e-04,986280.7,4.876
368,1,1.166816,,6.467680e-04,992292.4,4.876
369,1,1.226671,,6.449529e-04,988016.0,4.876
370,1,1.197568,,6.431362e-04,993000.4,4.876
371,1,1.187168,,6.413180e-04,991272.6,4.876
372,1,1.217011,,6.394981e-04,989712.9,4.876
373,1,1.189091,,6.376768e-04,993081.1,4.876
374,1,1.281428,,6.358539e-04,988186.5,4.876
375,1,1.181361,,6.340296e-04,991385.2,4.876
376,1,1.160140,,6.322039e-04,986898.6,4.876
377,1,1.231292,,6.303767e-04,987352.4,4.876
378,1,1.194751,,6.285482e-04,990245.9,4.876
379,1,1.144946,,6.267183e-04,991599.8,4.876
380,1,1.247330,,6.248872e-04,993747.1,4.876
381,1,1.151137,,6.230547e-04,991347.7,4.876
382,1,1.224910,,6.212211e-04,993197.8,4.876
383,1,1.197648,,6.193862e-04,991111.8,4.876
384,1,1.225633,,6.175501e-04,991848.5,4.876
385,1,1.191051,,6.157129e-04,994516.5,4.876
386,1,1.195981,,6.138745e-04,995838.8,4.876
387,1,1.223531,,6.120351e-04,994512.9,4.876
388,1,1.160928,,6.101946e-04,990899.2,4.876
389,1,1.214367,,6.083531e-04,993431.1,4.876
390,1,1.180273,,6.065105e-04,990938.5,4.876
391,1,1.261332,,6.046671e-04,989100.3,4.876
392,1,1.190455,,6.028226e-04,993641.2,4.876
393,1,1.154130,,6.009773e-04,991599.8,4.876
394,1,1.213037,,5.991312e-04,993459.8,4.876
395,1,1.210471,,5.972841e-04,988236.2,4.876
396,1,1.211554,,5.954363e-04,990336.9,4.876
397,1,1.201992,,5.935877e-04,992688.4,4.876
398,1,1.169633,,5.917384e-04,992598.8,4.876
399,1,1.163883,,5.898883e-04,993734.5,4.876
400,1,1.171009,1.208232,5.880376e-04,989671.9,4.876
401,1,1.219959,,5.861862e-04,982206.7,4.876
402,1,1.176067,,5.843342e-04,990813.4,4.876
403,1,1.167479,,5.824816e-04,988787.2,4.876
404,1,1.214412,,5.806285e-04,995355.6,4.876
405,1,1.202810,,5.787748e-04,992815.7,4.876
406,1,1.158687,,5.769207e-04,990467.1,4.876
407,1,1.159338,,5.750661e-04,994512.9,4.876
408,1,1.186573,,5.732111e-04,994901.7,4.876
409,1,1.182313,,5.713556e-04,992760.1,4.876
410,1,1.203224,,5.694998e-04,993610.6,4.876
411,1,1.117906,,5.676437e-04,989606.0,4.876
412,1,1.188599,,5.657873e-04,986487.8,4.876
413,1,1.249811,,5.639306e-04,988312.6,4.876
414,1,1.176935,,5.620737e-04,986539.1,4.876
415,1,1.184940,,5.602165e-04,991440.6,4.876
416,1,1.187712,,5.583592e-04,989148.4,4.876
417,1,1.158905,,5.565018e-04,989611.3,4.876
418,1,1.152261,,5.546442e-04,989983.8,4.876
419,1,1.165826,,5.527865e-04,988026.7,4.876
420,1,1.188144,,5.509289e-04,989415.4,4.876
421,1,1.202064,,5.490711e-04,988374.8,4.876
422,1,1.156481,,5.472135e-04,987496.0,4.876
423,1,1.175267,,5.453558e-04,985304.9,4.876
424,1,1.136918,,5.434982e-04,986960.6,4.876
425,1,1.114528,,5.416408e-04,988885.1,4.876
426,1,1.195844,,5.397835e-04,988026.7,4.876
427,1,1.137799,,5.379263e-04,984473.9,4.876
428,1,1.155809,,5.360694e-04,984821.3,4.876
429,1,1.151616,,5.342127e-04,984655.5,4.876
430,1,1.149975,,5.323563e-04,982563.0,4.876
431,1,1.178905,,5.305002e-04,988243.3,4.876
432,1,1.232723,,5.286444e-04,987558.1,4.876
433,1,1.140738,,5.267889e-04,987533.3,4.876
434,1,1.133093,,5.249339e-04,987437.5,4.876
435,1,1.122442,,5.230793e-04,989459.9,4.876
436,1,1.181173,,5.212252e-04,990858.1,4.876
437,1,1.141364,,5.193715e-04,980416.5,4.876
438,1,1.184115,,5.175184e-04,984389.3,4.876
439,1,1.146168,,5.156658e-04,984747.2,4.876
440,1,1.156684,,5.138138e-04,983992.8,4.876
441,1,1.150111,,5.119624e-04,985082.5,4.876
442,1,1.174107,,5.101117e-04,982656.1,4.876
443,1,1.127192,,5.082616e-04,985054.2,4.876
444,1,1.180411,,5.064123e-04,985833.2,4.876
445,1,1.189531,,5.045637e-04,983264.2,4.876
446,1,1.175517,,5.027159e-04,984652.0,4.876
447,1,1.164813,,5.008688e-04,982849.4,4.876
448,1,1.157570,,4.990227e-04,985813.8,4.876
449,1,1.170373,,4.971774e-04,985184.9,4.876
450,1,1.155160,1.165645,4.953329e-04,983331.1,4.876
451,1,1.094813,,4.934895e-04,982501.6,4.876
452,1,1.159930,,4.916469e-04,984807.2,4.876
453,1,1.168136,,4.898054e-04,981689.3,4.876
454,1,1.179269,,4.879649e-04,984512.7,4.876
455,1,1.109752,,4.861255e-04,989789.5,4.876
456,1,1.173019,,4.842871e-04,991428.1,4.876
457,1,1.153498,,4.824499e-04,991267.2,4.876
458,1,1.172270,,4.806138e-04,989244.5,4.876
459,1,1.159612,,4.787789e-04,990358.3,4.876
460,1,1.097083,,4.769453e-04,989324.6,4.876
461,1,1.136717,,4.751128e-04,990976.0,4.876
462,1,1.152703,,4.732817e-04,987320.4,4.876
463,1,1.138270,,4.714518e-04,983561.5,4.876
464,1,1.122267,,4.696233e-04,985435.6,4.876
465,1,1.112707,,4.677961e-04,987070.5,4.876
466,1,1.106932,,4.659704e-04,987653.9,4.876
467,1,1.177776,,4.641461e-04,987065.2,4.876
468,1,1.071124,,4.623232e-04,982624.5,4.876
469,1,1.107329,,4.605019e-04,978979.7,4.876
470,1,1.129344,,4.586820e-04,983947.0,4.876
471,1,1.131503,,4.568638e-04,983707.6,4.876
472,1,1.104240,,4.550471e-04,983426.0,4.876
473,1,1.141696,,4.532320e-04,983714.6,4.876
474,1,1.148255,,4.514186e-04,984384.0,4.876
475,1,1.084529,,4.496069e-04,984130.2,4.876
