step,epoch,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,1,8.412944,8.416707,0.000000e+00,237615.9,5.031
1,1,8.408264,,2.500000e-05,931099.9,5.039
2,1,7.844319,,5.000000e-05,937271.8,5.039
3,1,7.190750,,7.500000e-05,932985.0,5.039
4,1,6.863558,,1.000000e-04,930720.0,5.039
5,1,6.571835,,1.250000e-04,933230.5,5.039
6,1,6.385002,,1.500000e-04,933615.6,5.039
7,1,6.170194,,1.750000e-04,935794.4,5.039
8,1,6.080517,,2.000000e-04,936874.0,5.039
9,1,5.902165,,2.250000e-04,937378.8,5.039
10,1,5.639858,,2.500000e-04,940089.4,5.039
11,1,5.491475,,2.750000e-04,937898.6,5.039
12,1,5.297552,,3.000000e-04,937945.0,5.039
13,1,5.081081,,3.250000e-04,940070.1,5.039
14,1,4.855056,,3.500000e-04,940533.3,5.039
15,1,4.739072,,3.750000e-04,937735.4,5.039
16,1,4.572748,,4.000000e-04,937104.0,5.039
17,1,4.364182,,4.250000e-04,935749.8,5.039
18,1,4.237570,,4.500000e-04,937556.3,5.039
19,1,3.983204,,4.750000e-04,938202.7,5.039
20,1,3.842306,,5.000000e-04,936208.7,5.039
21,1,3.757862,,5.250000e-04,936532.5,5.039
22,1,3.672122,,5.500000e-04,938141.8,5.039
23,1,3.418855,,5.750000e-04,938090.6,5.039
24,1,3.322024,,6.000000e-04,939790.5,5.039
25,1,3.206701,,6.250000e-04,940522.0,5.039
26,1,3.075553,,6.500000e-04,941404.6,5.039
27,1,2.961703,,6.750000e-04,940216.4,5.039
28,1,2.958119,,7.000000e-04,939450.0,5.039
29,1,2.858568,,7.250000e-04,941170.9,5.039
30,1,2.790422,,7.500000e-04,937361.3,5.039
31,1,2.845003,,7.750000e-04,938434.9,5.039
32,1,2.768463,,8.000000e-04,940287.2,5.039
33,1,2.758381,,8.250000e-04,940984.0,5.039
34,1,2.673201,,8.500000e-04,940823.0,5.039
35,1,2.637903,,8.750000e-04,936735.2,5.039
36,1,2.627308,,9.000000e-04,939690.9,5.039
37,1,2.588992,,9.250000e-04,935019.3,5.039
38,1,2.569776,,9.500000e-04,936653.8,5.039
39,1,2.581627,,9.750000e-04,939739.1,5.039
40,1,2.482253,,1.000000e-03,940926.1,5.039
41,1,2.616043,,9.999962e-04,941635.2,5.039
42,1,2.582303,,9.999847e-04,941580.4,5.039
43,1,2.558682,,9.999655e-04,942016.0,5.039
44,1,2.530576,,9.999386e-04,941280.5,5.039
45,1,2.515479,,9.999041e-04,936196.0,5.039
46,1,2.390916,,9.998620e-04,938777.8,5.039
47,1,2.555079,,9.998121e-04,938890.1,5.039
48,1,2.352450,,9.997546e-04,940211.6,5.039
49,1,2.445315,,9.996894e-04,935636.7,5.039
50,1,2.369511,2.434398,9.996166e-04,937882.6,5.039
51,1,2.354552,,9.995361e-04,934579.0,5.039
52,1,2.352757,,9.994479e-04,934938.2,5.039
53,1,2.408770,,9.993521e-04,935337.5,5.039
54,1,2.398447,,9.992486e-04,933560.1,5.039
55,1,2.343254,,9.991375e-04,932736.5,5.039
56,1,2.384927,,9.990187e-04,936430.4,5.039
57,1,2.291559,,9.988923e-04,938092.2,5.039
58,1,2.261829,,9.987582e-04,935477.5,5.039
59,1,2.261891,,9.986164e-04,937263.8,5.039
60,1,2.338093,,9.984671e-04,938620.8,5.039
61,1,2.240349,,9.983100e-04,936350.7,5.039
62,1,2.252950,,9.981454e-04,937721.0,5.039
63,1,2.257641,,9.979731e-04,937709.8,5.039
