step,epoch,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
0,1,8.412944,8.416707,0.000000e+00,234225.0,5.031
1,1,8.408264,,5.000000e-05,936559.6,5.039
2,1,7.460728,,1.000000e-04,937961.0,5.039
3,1,6.825748,,1.500000e-04,934844.4,5.039
4,1,6.540151,,2.000000e-04,937829.8,5.039
5,1,6.368286,,2.500000e-04,936232.7,5.039
6,1,6.132489,,3.000000e-04,939612.2,5.039
7,1,5.915122,,3.500000e-04,938951.0,5.039
8,1,5.688470,,4.000000e-04,937917.8,5.039
9,1,5.401382,,4.500000e-04,935216.5,5.039
10,1,5.080756,,5.000000e-04,932570.3,5.039
11,1,4.816878,,5.500000e-04,934943.0,5.039
12,1,4.567623,,6.000000e-04,930973.7,5.039
13,1,4.371151,,6.500000e-04,933159.2,5.039
14,1,4.189647,,7.000000e-04,933893.1,5.039
15,1,3.913426,,7.500000e-04,935714.8,5.039
16,1,3.812790,,8.000000e-04,935891.6,5.039
17,1,3.668957,,8.500000e-04,933994.7,5.039
18,1,3.540534,,9.000000e-04,936562.8,5.039
19,1,3.407846,,9.500000e-04,935569.9,5.039
20,1,3.294920,,1.000000e-03,933836.0,5.039
21,1,3.242427,,1.050000e-03,936827.7,5.039
22,1,3.225071,,1.100000e-03,934593.3,5.039
23,1,3.079129,,1.150000e-03,931267.1,5.039
24,1,3.001297,,1.200000e-03,933904.3,5.039
25,1,2.939364,,1.250000e-03,933436.5,5.039
26,1,2.812676,,1.300000e-03,927648.1,5.039
27,1,2.733738,,1.350000e-03,932552.9,5.039
28,1,2.779427,,1.400000e-03,936885.2,5.039
29,1,2.708258,,1.450000e-03,937543.5,5.039
30,1,2.755139,,1.500000e-03,935882.0,5.039
31,1,2.741408,,1.550000e-03,935047.9,5.039
32,1,2.665724,,1.600000e-03,932024.9,5.039
33,1,2.703621,,1.650000e-03,932847.3,5.039
34,1,2.620581,,1.700000e-03,933076.8,5.039
35,1,2.611367,,1.750000e-03,934866.7,5.039
36,1,2.605816,,1.800000e-03,936486.2,5.039
37,1,2.560508,,1.850000e-03,936160.9,5.039
38,1,2.569260,,1.900000e-03,934685.5,5.039
39,1,2.568927,,1.950000e-03,937188.7,5.039
40,1,2.450005,,2.000000e-03,934823.7,5.039
41,1,2.559765,,1.999992e-03,935332.7,5.039
42,1,2.558686,,1.999969e-03,936720.8,5.039
43,1,2.503248,,1.999931e-03,936757.5,5.039
44,1,2.487241,,1.999877e-03,936583.6,5.039
45,1,2.478678,,1.999808e-03,939105.0,5.039
46,1,2.348120,,1.999724e-03,940277.5,5.039
47,1,2.473186,,1.999624e-03,937131.2,5.039
48,1,2.304329,,1.999509e-03,936556.4,5.039
49,1,2.393035,,1.999379e-03,939705.3,5.039
50,1,2.302264,2.359620,1.999233e-03,939191.6,5.039
51,1,2.298120,,1.999072e-03,937081.6,5.039
52,1,2.288963,,1.998896e-03,931593.7,5.039
53,1,2.328928,,1.998704e-03,937450.8,5.039
54,1,2.316043,,1.998497e-03,935727.5,5.039
55,1,2.255056,,1.998275e-03,937112.0,5.039
56,1,2.298412,,1.998037e-03,938907.7,5.039
57,1,2.235486,,1.997785e-03,938866.0,5.039
58,1,2.212724,,1.997516e-03,937321.3,5.039
59,1,2.208690,,1.997233e-03,937633.0,5.039
60,1,2.279441,,1.996934e-03,933740.9,5.039
61,1,2.179097,,1.996620e-03,936701.6,5.039
62,1,2.184937,,1.996291e-03,939214.1,5.039
63,1,2.189931,,1.995946e-03,937677.8,5.039
64,1,2.183816,,1.995586e-03,939482.1,5.039
65,1,2.167844,,1.995211e-03,937989.8,5.039
66,1,2.092441,,1.994821e-03,938816.3,5.039
67,1,2.091241,,1.994415e-03,938375.6,5.039
68,1,2.120020,,1.993994e-03,938346.8,5.039
69,1,2.047298,,1.993558e-03,939284.7,5.039
70,1,2.098654,,1.993107e-03,940023.5,5.039
71,1,2.124999,,1.992640e-03,939618.6,5.039
72,1,2.070411,,1.992158e-03,937537.1,5.039
73,1,2.114847,,1.991661e-03,937543.5,5.039
74,1,2.065227,,1.991149e-03,935205.4,5.039
75,1,2.084068,,1.990622e-03,933734.5,5.039
76,1,2.026024,,1.990079e-03,930386.1,5.039
77,1,2.046795,,1.989521e-03,932614.6,5.039
78,1,2.012650,,1.988949e-03,935619.2,5.039
79,1,2.049779,,1.988361e-03,937048.1,5.039
80,1,1.984940,,1.987757e-03,937132.8,5.039
81,1,1.913387,,1.987139e-03,934788.8,5.039
82,1,2.033801,,1.986506e-03,931126.7,5.039
83,1,1.985915,,1.985857e-03,933352.5,5.039
84,1,1.967859,,1.985193e-03,934020.1,5.039
85,1,1.956707,,1.984515e-03,933639.4,5.039
86,1,1.877452,,1.983821e-03,934680.7,5.039
87,1,1.920358,,1.983112e-03,933661.6,5.039
88,1,1.863784,,1.982388e-03,936653.8,5.039
89,1,1.874680,,1.981649e-03,930194.0,5.039
90,1,1.859019,,1.980895e-03,930282.1,5.039
91,1,1.898729,,1.980126e-03,931781.6,5.039
92,1,1.861680,,1.979342e-03,931063.6,5.039
93,1,1.859305,,1.978543e-03,933810.7,5.039
94,1,1.914538,,1.977729e-03,936071.6,5.039
95,1,1.911459,,1.976901e-03,939731.0,5.039
96,1,1.867842,,1.976057e-03,938318.0,5.039
97,1,1.805530,,1.975198e-03,935791.2,5.039
98,1,1.830689,,1.974324e-03,936430.4,5.039
99,1,1.771689,,1.973436e-03,937155.1,5.039
100,1,1.868451,1.827768,1.972532e-03,938143.4,5.039
101,1,1.798953,,1.971614e-03,930530.9,5.039
102,1,1.820632,,1.970681e-03,933788.5,5.039
103,1,1.800825,,1.969733e-03,937092.8,5.039
104,1,1.850080,,1.968770e-03,934172.4,5.039
105,1,1.795578,,1.967792e-03,934887.3,5.039
106,1,1.828593,,1.966800e-03,935156.1,5.039
107,1,1.792914,,1.965792e-03,934596.5,5.039
108,1,1.768857,,1.964770e-03,932151.3,5.039
109,1,1.789286,,1.963734e-03,923535.6,5.039
110,1,1.735924,,1.962682e-03,934528.2,5.039
111,1,1.707741,,1.961616e-03,935741.8,5.039
112,1,1.734741,,1.960535e-03,936019.1,5.039
113,1,1.743585,,1.959440e-03,935861.3,5.039
114,1,1.745466,,1.958330e-03,934334.4,5.039
115,1,1.753003,,1.957205e-03,936409.7,5.039
116,1,1.790432,,1.956066e-03,934927.1,5.039
117,1,1.775213,,1.954912e-03,936275.7,5.039
118,1,1.810191,,1.953743e-03,937358.1,5.039
119,1,1.745543,,1.952560e-03,937442.8,5.039
120,1,1.799099,,1.951362e-03,938340.4,5.039
121,1,1.781183,,1.950150e-03,935284.9,5.039
122,1,1.770237,,1.948924e-03,936914.0,5.039
123,1,1.761133,,1.947683e-03,937609.0,5.039
124,1,1.622808,,1.946427e-03,933034.1,5.039
125,1,1.771013,,1.945157e-03,936663.3,5.039
126,1,1.699706,,1.943873e-03,932799.8,5.039
127,1,1.713982,,1.942574e-03,937231.8,5.039
128,1,1.706387,,1.941261e-03,938205.9,5.039
129,1,1.748359,,1.939934e-03,937211.0,5.039
